"id","studyID","pubMedID","author","studyScore","ethnicity","cohort","title","lastUpdated"
"24","GCST000045","17554300","Wellcome Trust Case Control Consortium 2007","132.25","European",6871,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-07"
"25","GCST000046","17553421","Reiman EM 2007","16","",1411,"GAB2 alleles modify Alzheimer's risk in APOE epsilon4 carriers.","2020-05-07"
"26","GCST000047","17554300","Wellcome Trust Case Control Consortium 2007","132.25","European",6869,"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","2020-05-07"
"27","GCST000048","17558408","van Heel DA 2007","32.976","European",4680,"A genome-wide association study for celiac disease identifies risk variants in the region harboring IL2 and IL21.","2020-05-07"
"28","GCST000049","17668382","Salonen JT 2007","3.25","European",6346,"Type 2 diabetes whole-genome association study in four populations: the DiaGen consortium.","2020-05-09"
"29","GCST000050","17603485","Gudmundsson J 2007","34.472","European",17841,"Two variants on chromosome 17 confer prostate cancer risk, and the one in TCF2 protects against type 2 diabetes.","2020-05-07"
"30","GCST000051","17603472","Gudbjartsson DF 2007","25.08","European|East Asian",26005,"Variants conferring risk of atrial fibrillation on chromosome 4q25.","2020-05-07"
"31","GCST000052","17618283","Zanke BW 2007","15","European",15259,"Genome-wide association scan identifies a colorectal cancer susceptibility locus on chromosome 8q24.","2020-05-07"
"32","GCST000053","17618284","Tomlinson I 2007","20","European",14470,"A genome-wide association scan of tag SNPs identifies a susceptibility variant for colorectal cancer at 8q24.21.","2020-05-07"
"33","GCST000054","17632545","Hakonarson H 2007","30","European",4443,"A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.","2020-05-07"
"34","GCST000055","17632509","Buch S 2007","9.496","European|Hispanic or Latin American",3842,"A genome-wide association scan identifies the hepatic cholesterol transporter ABCG8 as a susceptibility factor for human gallstone disease.","2020-05-07"
"35","GCST000056","17637780","Winkelmann J 2007","21.496","European",4384,"Genome-wide association study of restless legs syndrome identifies common variants in three genomic regions.","2020-05-07"
"36","GCST000057","17634449","Samani NJ 2007","22.25","European",7383,"Genomewide association analysis of coronary artery disease.","2020-05-09"
"37","GCST000058","17634447","Stefansson H 2007","19.25","European",18176,"A genetic risk factor for periodic limb movements in sleep.","2020-05-07"
"38","GCST000061","17611496","Moffatt MF 2007","25.8","European",4557,"Genetic variants regulating ORMDL3 expression contribute to the risk of childhood asthma.","2020-05-07"
"39","GCST000062","17660530","Hafler DA 2007","32.608","European",9280,"Risk alleles for multiple sclerosis identified by a genomewide study.","2020-05-10"
"40","GCST000063","17667963","Shifman S 2007","7.418","European",3587,"A whole genome association study of neuroticism using DNA pooling.","2020-05-07"
"41","GCST000067","17690259","Thorleifsson G 2007","20.496","European",14946,"Common sequence variants in the LOXL1 gene confer susceptibility to exfoliation glaucoma.","2020-05-07"
"42","GCST000070","17804836","Plenge RM 2007","13","European",6283,"TRAF1-C5 as a risk locus for rheumatoid arthritis--a genomewide study.","2020-05-07"
"43","GCST000113","17934461","Broderick P 2007",NA,"European",15347,"A genome-wide association study shows that common alleles of SMAD7 influence colorectal cancer risk.","2020-05-07"
"44","GCST000114","17999355","Stokowski RP 2007","12","South Asian",968,"A genomewide association study of skin pigmentation in a South Asian population.","2020-05-07"
"45","GCST000115","17952075","Sulem P 2007","63.6",NA,6918,"Genetic determinants of hair, eye and skin pigmentation in Europeans.","2020-05-09"
"46","GCST000116","17952075","Sulem P 2007","63.6",NA,6918,"Genetic determinants of hair, eye and skin pigmentation in Europeans.","2020-05-07"
"47","GCST000117","17952075","Sulem P 2007","63.6",NA,6918,"Genetic determinants of hair, eye and skin pigmentation in Europeans.","2020-05-07"
"48","GCST000118","17952075","Sulem P 2007","63.6","European",6918,"Genetic determinants of hair, eye and skin pigmentation in Europeans.","2020-05-07"
"49","GCST000119","17952075","Sulem P 2007","63.6",NA,6918,"Genetic determinants of hair, eye and skin pigmentation in Europeans.","2020-05-09"
"50","GCST000120","17952075","Sulem P 2007","63.6",NA,6918,"Genetic determinants of hair, eye and skin pigmentation in Europeans.","2020-05-07"
"51","GCST000122","17982456","Plenge RM 2007",NA,"European",7149,"Two independent alleles at 6q23 associated with risk of rheumatoid arthritis.","2020-05-07"
"52","GCST000125","18075462","Suzuki S 2007",NA,"East Asian",411,"A novel genetic marker for coronary spasm in women from a genome-wide single nucleotide polymorphism analysis.","2020-05-07"
"53","GCST000127","18084291","van Es MA 2007",NA,"European",3683,"Genetic variation in DPP6 is associated with susceptibility to amyotrophic lateral sclerosis.","2020-05-08"
"54","GCST000129","18159244","Hinney A 2007",NA,"European",3842,"Genome wide association (GWA) study for early onset extreme obesity supports the role of fat mass and obesity associated gene (FTO) variants.","2020-05-07"
"55","GCST000141","18198356","Hakonarson H 2008","6","European",5128,"A novel susceptibility locus for type 1 diabetes on Chr12q13 identified by a genome-wide association study.","2020-05-07"
"56","GCST000142","18204446","Harley JB 2008","10","European",6728,"Genome-wide association scan in women with systemic lupus erythematosus identifies susceptibility variants in ITGAM, PXK, KIAA1542 and other loci.","2020-05-08"
"57","GCST000143","18204447","Kozyrev SV 2008","13","European",4091,"Functional variants in the B-cell gene BANK1 are associated with systemic lupus erythematosus.","2020-05-07"
"58","GCST000144","18204098","Hom G 2008","13","European",6301,"Association of systemic lupus erythematosus with C8orf13-BLK and ITGAM-ITGAX.","2020-05-10"
"59","GCST000152","18264097","Eeles RA 2008","25.744","European",10382,"Multiple newly identified loci associated with prostate cancer susceptibility.","2020-05-09"
"60","GCST000153","18264098","Gudmundsson J 2008","16.744","European",39055,"Common sequence variants on 2p15 and Xp11.22 confer susceptibility to prostate cancer.","2020-05-07"
"61","GCST000154","18264096","Thomas G 2008","17.906","European",10234,"Multiple loci identified in a genome-wide association study of prostate cancer.","2020-05-07"
"62","GCST000155","18282107","Shifman S 2008","3","Other|European|East Asian",13754,"Genome-wide association identifies a common variant in the reelin gene that increases the risk of schizophrenia only in women.","2020-05-07"
"63","GCST000157","18311140","Hunt KA 2008","21.504","European",7238,"Newly identified genetic risk variants for celiac disease related to the immune response.","2020-05-09"
"64","GCST000162","18326623","Gold B 2008","6","European",2919,"Genome-wide association study provides evidence for a breast cancer risk locus at 6q22.33.","2020-05-07"
"65","GCST000167","18372903","Zeggini E 2008","34.58","European",89920,"Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.","2020-05-08"
"66","GCST000168","18372901","Tenesa A 2008","15","European|East Asian",33810,"Genome-wide association scan identifies a colorectal cancer susceptibility locus on 11q23 and replicates risk loci at 8q24 and 18q21.","2020-05-08"
"67","GCST000169","18372905","Tomlinson IP 2008","11.25","European",37247,"A genome-wide association study identifies colorectal cancer susceptibility loci on chromosomes 10p14 and 8q23.3.","2020-05-10"
"68","GCST000170","18385738","Hung RJ 2008","31","European|Other",11713,"A susceptibility locus for lung cancer maps to nicotinic acetylcholine receptor subunit genes on 15q25.","2020-05-07"
"69","GCST000172","18385676","Amos CI 2008","38.776","European",8709,"Genome-wide association scan of tag SNPs identifies a susceptibility locus for lung cancer at 15q25.1.","2020-05-07"
"70","GCST000173","18369459","Liu Y 2008","11.938","European",3107,"A genome-wide association study of psoriasis and psoriatic arthritis identifies new disease loci.","2020-05-09"
"71","GCST000188","18463370","Maris JM 2008","3","European",5923,"Chromosome 6p22 locus associated with clinically aggressive neuroblastoma.","2020-05-07"
"72","GCST000192","18488028","Sulem P 2008","14.354","European",8460,"Two newly identified genetic determinants of pigmentation in Europeans.","2020-05-07"
"73","GCST000194","18488028","Sulem P 2008","14.354","European",8460,"Two newly identified genetic determinants of pigmentation in Europeans.","2020-05-07"
"74","GCST000198","18488026","Brown KM 2008","5.608","European",4209,"Common sequence variants on 20q11.22 confer melanoma susceptibility.","2020-05-07"
"75","GCST000207","18587394","Barrett JC 2008","45.704","European",13532,"Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease.","2020-05-09"
"76","GCST000209","18594024","Sarasquete ME 2008","10","European",87,"Bisphosphonate-related osteonecrosis of the jaw is associated with polymorphisms of the cytochrome P450 CYP2C8 in multiple myeloma: a genome-wide single nucleotide polymorphism analysis.","2020-05-07"
"77","GCST000212","18723019","Franke A 2008",NA,"European",3582,"Genome-wide association analysis in sarcoidosis and Crohn's disease unravels a common susceptibility locus on 10p12.2.","2020-05-07"
"78","GCST000213","18650507","Link E 2008","57.136","European",16839,"SLCO1B1 variants and statin-induced myopathy--a genomewide study.","2020-05-09"
"79","GCST000214","18660810","Schormair B 2008","15.35","European",7218,"PTPRD (protein tyrosine phosphatase receptor type delta) is associated with restless legs syndrome.","2020-05-07"
"80","GCST000215","18677311","O'Donovan MC 2008","21","European|East Asian",19979,"Identification of loci associated with schizophrenia by genome-wide association and follow-up.","2020-05-07"
"81","GCST000217","18668548","Julià A 2008","7","European",1604,"Genome-wide association study of rheumatoid arthritis in the Spanish population: KLF12 as a risk locus for rheumatoid arthritis susceptibility.","2020-05-07"
"82","GCST000219","18711367","Yasuda K 2008","15.496","East Asian|European",21434,"Variants in KCNQ1 are associated with susceptibility to type 2 diabetes mellitus.","2020-05-07"
"83","GCST000220","18711365","Ferreira MA 2008","19","European",10596,"Collaborative genome-wide association analysis supports a role for ANK3 and CACNA1C in bipolar disorder.","2020-05-09"
"84","GCST000221","18711366","Unoki H 2008","17.496","East Asian|European",23500,"SNPs in KCNQ1 are associated with susceptibility to type 2 diabetes in East Asian and European populations.","2020-05-07"
"85","GCST000224","18758461","Di Bernardo MC 2008","14.746","European",4644,"A genome-wide association study identifies six susceptibility loci for chronic lymphocytic leukemia.","2020-05-07"
"86","GCST000225","18758464","Kugathasan S 2008","12.25","European",21307,"Loci on 20q13 and 21q22 are associated with pediatric-onset inflammatory bowel disease.","2020-05-09"
"87","GCST000231","18794855","Kiemeney LA 2008","14","European",42104,"Sequence variant on 8q24 confers susceptibility to urinary bladder cancer.","2020-05-07"
"88","GCST000232","18794853","Raychaudhuri S 2008","15","European",25589,"Common variants at CD40 and other loci confer risk of rheumatoid arthritis.","2020-05-09"
"89","GCST000233","18780872","Liu P 2008","15","European",9122,"Familial aggregation of common sequence variants on 15q24-25.1 in lung cancer.","2020-05-07"
"90","GCST000236","18820697","Miyagawa T 2008",NA,"East Asian|European|African American or Afro-Caribbean",2353,"Variant between CPT1B and CHKB associated with susceptibility to narcolepsy.","2020-05-07"
"91","GCST000237","18823527","Abraham R 2008","3.25","European",3721,"A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.","2020-05-07"
"92","GCST000238","18835860","Mushiroda T 2008","3","East Asian",1711,"A genome-wide association study identifies an association of a common variant in TERT with susceptibility to idiopathic pulmonary fibrosis.","2020-05-07"
"93","GCST000239","18991354","Gretarsdottir S 2008","13.25","European",36395,"Risk variants for atrial fibrillation on chromosome 4q25 associate with ischemic stroke.","2020-05-07"
"94","GCST000243","18836448","Franke A 2008","7","European",6890,"Sequence variants in IL10, ARPC2 and multiple other loci contribute to ulcerative colitis susceptibility.","2020-05-07"
"95","GCST000244","18840781","Grant SF 2008","3","European",10168,"Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.","2020-05-07"
"96","GCST000249","18849993","Stacey SN 2008",NA,"European",38107,"Common variants on 1p36 and 1q42 are associated with cutaneous basal cell carcinoma but not with melanoma or pigmentation traits.","2020-05-07"
"97","GCST000250","18849991","Richards JB 2008","33.326","European",4961,"Male-pattern baldness susceptibility locus at 20p11.","2020-05-07"
"98","GCST000251","18849994","Hillmer AM 2008","27.58","European",1196,"Susceptibility variants for male-pattern baldness on chromosome 20p11.","2020-05-07"
"99","GCST000252","18941528","Comabella M 2008","3","European",2070,"Identification of a novel risk locus for multiple sclerosis at 13q31.3 by a pooled genome-wide scan of 500,000 single nucleotide polymorphisms.","2020-05-07"
"100","GCST000256","18978790","McKay JD 2008","15","European",15189,"Lung cancer susceptibility locus at 5p15.33.","2020-05-07"
"101","GCST000257","18978787","Wang Y 2008","11.088","European",15726,"Common 5p15.33 and 6p21.33 variants influence lung cancer risk.","2020-05-09"
"102","GCST000258","18978792","Cooper JD 2008","10","European",27270,"Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.","2020-05-09"
"103","GCST000260","18987618","Cronin S 2008","3","European",2603,"Screening for replication of genome-wide SNP associations in sporadic ALS.","2020-05-07"
"104","GCST000261","18985386","Pankratz N 2008","3","European",2246,"Genomewide association study for susceptibility genes contributing to familial Parkinson disease.","2020-05-09"
"105","GCST000262","18997786","Bilguvar K 2008",NA,"European|East Asian",9027,"Susceptibility loci for intracranial aneurysm in European and Japanese populations.","2020-05-09"
"106","GCST000263","18997785","Aulchenko YS 2008","4","European",6560,"Genetic variation in the KIF1B locus influences susceptibility to multiple sclerosis.","2020-05-08"
"107","GCST000270","19011631","Houlston RS 2008","3.25","European",41041,"Meta-analysis of genome-wide association data identifies four new susceptibility loci for colorectal cancer.","2020-05-08"
"108","GCST000304","19107115","Muglia P 2008","11.5","European",3141,"Genome-wide association study of recurrent major depressive disorder in two European case-control cohorts.","2020-05-07"
"109","GCST000307","19117981","Sun J 2009","3","European",11656,"Sequence variants at 22q13 are associated with prostate cancer risk.","2020-05-07"
"110","GCST000308","19115949","Limou S 2009",NA,"European",3720,"Genomewide association study of an AIDS-nonprogression cohort emphasizes the role played by HLA genes (ANRS Genomewide Association Study 02).","2020-05-09"
"111","GCST000311","19122664","Silverberg MS 2009","3","European",6027,"Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.","2020-05-09"
"112","GCST000314","19132087","Burgner D 2009",NA,"European",2764,"A genome-wide association study identifies novel and functionally related susceptibility Loci for Kawasaki disease.","2020-05-07"
"113","GCST000317","19151714","Meyre D 2009","16.184","European",16982,"Genome-wide association study for early-onset and morbid adult obesity identifies three new risk loci in European populations.","2020-05-10"
"114","GCST000318","19151717","Rafnar T 2009","19","European",31970,"Sequence variants at the TERT-CLPTM1L locus associate with many cancer types.","2020-05-07"
"115","GCST000321","19169255","Zhang XJ 2009","20.246","East Asian",15332,"Psoriasis genome-wide association study identifies susceptibility variants within LCE gene cluster at 1q21.","2020-05-07"
"116","GCST000322","19169254","Nair RP 2009","29.576","European",12848,"Genome-wide scan reveals association of psoriasis with IL-23 and NF-kappaB pathways.","2020-05-10"
"117","GCST000323","19176441","Yang JJ 2009","15","European|Other|African unspecified",487,"Genome-wide interrogation of germline genetic variation associated with treatment response in childhood acute lymphoblastic leukemia.","2020-05-09"
"118","GCST000329","19182806","Stefansson H 2009","11.25","European",16550,"Variant in the sequence of the LINGO1 gene confers risk of essential tremor.","2020-05-10"
"119","GCST000330","19187332","Kim SH 2009","4","East Asian",347,"Alpha-T-catenin (CTNNA3) gene was identified as a risk variant for toluene diisocyanate-induced asthma by genome-wide association analysis.","2020-05-08"
"120","GCST000334","19196962","Garcia-Barcelo MM 2009","3","East Asian",1227,"Genome-wide association study identifies NRG1 as a susceptibility locus for Hirschsprung's disease.","2020-05-07"
"121","GCST000335","19198613","Gudmundsson J 2009","16","European",39547,"Common variants on 9q22.33 and 14q13.3 predispose to thyroid cancer in European populations.","2020-05-10"
"122","GCST000338","19198612","Erdmann J 2009","16","European",40773,"New susceptibility locus for coronary artery disease on chromosome 3q22.3.","2020-05-07"
"123","GCST000340","19198609","Kathiresan S 2009","88.362","European",25534,"Genome-wide association of early-onset myocardial infarction with single nucleotide polymorphisms and copy number variants.","2020-05-08"
"124","GCST000343","19219042","Zheng W 2009","3","East Asian|European",13586,"Genome-wide association study identifies a new breast cancer susceptibility locus at 6q25.1.","2020-05-07"
"125","GCST000353","19270707","Birnbaum S 2009","19","European",1807,"Key susceptibility locus for nonsyndromic cleft lip with or without cleft palate on chromosome 8q24.","2020-05-07"
"126","GCST000354","19278955","Trégouët DA 2009",NA,"European",4884,"Common susceptibility alleles are unlikely to contribute as strongly as the FV and ABO loci to VTE risk: results from a GWAS approach.","2020-05-07"
"127","GCST000359","19300482","Pillai SG 2009","16","European",6067,"A genome-wide association study in chronic obstructive pulmonary disease (COPD): identification of two major susceptibility loci.","2020-05-07"
"128","GCST000361","19304780","Org E 2009",NA,"European",3766,"Genome-wide scan identifies CDH13 as a novel susceptibility locus contributing to blood pressure determination in two European populations.","2020-05-07"
"129","GCST000365","19330030","Thomas G 2009","6.5","European",20569,"A multistage genome-wide association study in breast cancer identifies two new risk alleles at 1p11.2 and 14q24.1 (RAD51L1).","2020-05-08"
"130","GCST000374","19349984","Esparza-Gordillo J 2009","21.08","European",9875,"A common variant on chromosome 11q13 is associated with atopic dermatitis.","2020-05-07"
"131","GCST000375","19349983","Kamatani Y 2009","18","East Asian|South East Asian",6387,"A genome-wide association study identifies variants in the HLA-DP locus associated with chronic hepatitis B in Asians.","2020-05-07"
"132","GCST000379","19369658","Ikram MA 2009","18.5","European|African American or Afro-Caribbean",26871,"Genomewide association studies of stroke.","2020-05-08"
"133","GCST000382","19404256","Wang K 2009","50.414","European",14061,"Common genetic variants on 5p14.1 associate with autism spectrum disorders.","2020-05-07"
"134","GCST000383","19401414","Takeuchi F 2009",NA,"East Asian",12999,"Confirmation of multiple risk Loci and genetic impacts by a genome-wide association study of type 2 diabetes in the Japanese population.","2020-05-07"
"135","GCST000384","19412175","Capasso M 2009","21","European",4930,"Common variations in BARD1 influence susceptibility to high-risk neuroblastoma.","2020-05-07"
"136","GCST000385","19412176","Hallmayer J 2009","33.344","East Asian|European|African American or Afro-Caribbean",4042,"Narcolepsy is strongly associated with the T-cell receptor alpha locus.","2020-05-07"
"137","GCST000387","19416921","Scott LJ 2009","11.584","European",18190,"Genome-wide association and meta-analysis of bipolar disorder in individuals of European ancestry.","2020-05-10"
"138","GCST000389","19426955","Himes BE 2009","5.08","European|African American or Afro-Caribbean|Hispanic or Latin American",25360,"Genome-wide association analysis identifies PDE4D as an asthma-susceptibility gene.","2020-05-07"
"139","GCST000392","19430480","Barrett JC 2009","14.08","European",32157,"Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.","2020-05-09"
"140","GCST000397","19430482","Köttgen A 2009","20.152","European",41343,"Multiple loci associated with indices of renal function and chronic kidney disease.","2020-05-07"
"141","GCST000406","19451621","Landers JE 2009","18","European|Other",5173,"Reduced expression of the Kinesin-Associated Protein 3 (KIFAP3) gene increases survival in sporadic amyotrophic lateral sclerosis.","2020-05-10"
"142","GCST000408","19458352","Hirschfield GM 2009","24.176","European",3744,"Primary biliary cirrhosis associated with HLA, IL12A, and IL12RB2 variants.","2020-05-08"
"143","GCST000410","19465909","Jallow M 2009","21.858","Sub-Saharan African",5803,"Genome-wide and fine-resolution association analysis of malaria in West Africa.","2020-05-09"
"144","GCST000411","19456320","Ma D 2009","3","European",4675,"A genome-wide association study of autism reveals a common novel risk locus at 5p14.1.","2020-05-07"
"145","GCST000413","19478819","Ng CC 2009",NA,"East Asian",791,"A genome-wide association study identifies ITGA9 conferring risk of nasopharyngeal carcinoma.","2020-05-07"
"146","GCST000414","19483681","Rapley EA 2009","9","European",4542,"A genome-wide association study of testicular germ cell tumor.","2020-05-07"
"147","GCST000416","19483682","Kanetsky PA 2009","18.5","European",2835,"Common variation in KITLG and at 5q31.3 predisposes to testicular germ cell cancer.","2020-05-09"
"148","GCST000417","19488044","Smith EN 2009","6.5","European|African American or Afro-Caribbean",6543,"Genome-wide association study of bipolar disorder in European American and African American individuals.","2020-05-07"
"149","GCST000420","19503088","Gregersen PK 2009","7","European|Other",12408,"REL, encoding a member of the NF-kappaB family of transcription factors, is a newly defined risk locus for rheumatoid arthritis.","2020-05-07"
"150","GCST000424","19525953","De Jager PL 2009","6","European",14175,"Meta-analysis of genome scans and replication identify CD6, IRF8 and TNFRSF1A as new multiple sclerosis susceptibility loci.","2020-05-09"
"151","GCST000425","19525955","Bahlo M 2009","4","European",9597,"Genome-wide association study identifies new multiple sclerosis susceptibility loci on chromosomes 12 and 20.","2020-05-07"
"152","GCST000426","19553259","Cotsapas C 2009",NA,"European",3972,"Common body mass index-associated variants confer risk of extreme obesity.","2020-05-09"
"153","GCST000429","19561606","Thorleifsson G 2009","12.25","European",46283,"Sequence variants in the CLDN14 gene associate with kidney stones and bone mineral density.","2020-05-09"
"154","GCST000432","19581569","Treutlein J 2009","8.216","European",3854,"Genome-wide association study of alcohol dependence.","2020-05-09"
"155","GCST000433","19571809","Shi J 2009","48.842","European|African American or Afro-Caribbean",29344,"Common variants on chromosome 6p22.1 are associated with schizophrenia.","2020-05-07"
"156","GCST000434","19571811","Purcell SM 2009","153.898","European",27094,"Common polygenic variation contributes to risk of schizophrenia and bipolar disorder.","2020-05-07"
"157","GCST000435","19571808","Stefansson H 2009","83.476","European",47536,"Common variants conferring risk of schizophrenia.","2020-05-08"
"158","GCST000437","19578364","Bishop DT 2009","10","European",9635,"Genome-wide association study identifies three loci associated with melanoma risk.","2020-05-09"
"159","GCST000439","19578367","Shete S 2009","21.38","European",11046,"Genome-wide association study identifies five susceptibility loci for glioma.","2020-05-07"
"160","GCST000440","19578366","Wrensch M 2009","13","European|African American or Afro-Caribbean|Hispanic or Latin American|Asian unspecified|Native American|Other",5034,"Variants in the CDKN2B and RTEL1 regions are associated with high-grade glioma susceptibility.","2020-05-07"
"161","GCST000445","19597492","Benjamin EJ 2009","9","European",46736,"Variants in ZFHX3 are associated with atrial fibrillation in individuals of European ancestry.","2020-05-07"
"162","GCST000446","19597491","Gudbjartsson DF 2009","12","European|East Asian",44992,"A sequence variant in ZFHX3 on 16q22 associates with atrial fibrillation and ischemic stroke.","2020-05-07"
"163","GCST000447","19609347","Adeyemo A 2009",NA,"African American or Afro-Caribbean|African unspecified",1997,"A genome-wide association study of hypertension and blood pressure in African Americans.","2020-05-09"
"164","GCST000448","19620980","Skibola CF 2009","9","European",4022,"Genetic variants at 6p21.33 are associated with susceptibility to follicular lymphoma.","2020-05-07"
"165","GCST000454","19648920","Wu X 2009",NA,"European",46257,"Genetic variation in the prostate stem cell antigen gene PSCA confers susceptibility to urinary bladder cancer.","2020-05-07"
"166","GCST000455","19648919","Song H 2009","21.298","European",20591,"A genome-wide association study identifies a new ovarian cancer susceptibility locus on 9p22.2.","2020-05-07"
"167","GCST000456","19648918","Amundadottir L 2009","54.364","European",7823,"Genome-wide association study identifies variants in the ABO locus associated with susceptibility to pancreatic cancer.","2020-05-07"
"168","GCST000460","19664746","Tse KP 2009",NA,"East Asian",2837,"Genome-wide association study reveals multiple nasopharyngeal carcinoma-associated loci within the HLA region at chromosome 6p21.3.","2020-05-09"
"169","GCST000462","19680635","Alkelai A 2009",NA,"European|African American or Afro-Caribbean|Other",397,"Genome-wide association study of antipsychotic-induced parkinsonism severity among schizophrenia patients.","2020-05-07"
"170","GCST000463","19684604","Papaemmanuil E 2009","22","European",3305,"Loci on 7p12.2, 10q21.2 and 14q11.2 are associated with risk of childhood acute lymphoblastic leukemia.","2020-05-07"
"171","GCST000464","19684603","Treviño LR 2009","15","European",18275,"Germline genomic variants associated with childhood acute lymphoblastic leukemia.","2020-05-10"
"172","GCST000465","19684573","Ge D 2009","57.278","European|African American or Afro-Caribbean|Hispanic or Latin American",1137,"Genetic variation in IL28B predicts hepatitis C treatment-induced viral clearance.","2020-05-07"
"173","GCST000466","19698717","Cui R 2009","14.25","East Asian",3789,"Functional variants in ADH1B and ALDH2 coupled with alcohol and smoking synergistically enhance esophageal cancer risk.","2020-05-07"
"174","GCST000474","19727025","De Moor MH 2009","0.25","European",2622,"Genome-wide association study of exercise behavior in Dutch and American adults.","2020-05-07"
"175","GCST000478","19734900","Rung J 2009","3","European",14051,"Genetic variant near IRS1 is associated with type 2 diabetes, insulin resistance and hyperinsulinemia.","2020-05-09"
"176","GCST000485","19749758","Suppiah V 2009","41.498","European",848,"IL28B is associated with response to chronic hepatitis C interferon-alpha and ribavirin therapy.","2020-05-07"
"177","GCST000486","19749757","Tanaka Y 2009","33","East Asian",314,"Genome-wide association of IL28B with response to pegylated interferon-alpha and ribavirin therapy for chronic hepatitis C.","2020-05-08"
