studyID	pubMedID	trait	reportedTrait	citation	altmetricScore	ethnicity	initialSampleSize	replicationSampleSize	title	lastUpdated
GCST002169	24023777	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis (Severe)	Miyake et al. 2013	NA	East Asian	2028	10988	Identification of a susceptibility locus for severe adolescent idiopathic scoliosis on chromosome 17q24.3.	2021-06-24
GCST003052	26211971	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Ogura et al. 2015	55.79	East Asian	13249	6947	A Functional SNP in BNC2 Is Associated with Adolescent Idiopathic Scoliosis.	2021-06-24
GCST004981	29016859	Adolescent Idiopathic Scoliosis	Curve Progression In Adolescent Idiopathic Scoliosis	Ogura et al. 2017	7.508	East Asian	1937	606	A functional variant in MIR4300HG, the host gene of microRNA MIR4300 is associated with progression of adolescent idiopathic scoliosis.	2021-06-24
GCST003128	26394188	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Zhu et al. 2015	7.804	East Asian	2459	7832	Genome-wide association study identifies new susceptibility loci for adolescent idiopathic scoliosis in Chinese girls.	2021-06-24
GCST004288	28334814	Adolescent Idiopathic Scoliosis	Adolescent Idiopathic Scoliosis	Zhu et al. 2017	3.75	East Asian	3560	10464	Genome-wide association study identifies novel susceptible loci and highlights Wnt/beta-catenin pathway in the development of adolescent idiopathic scoliosis.	2021-06-24
GCST005924	29551627	Adrenal Suppression Measurement	Corticosteroid-Induced Adrenal Suppression (Peak Cortisol < 500 Nmol/L)	Hawcutt et al. 2018	162.33	European	407	159	Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.	2021-06-25
GCST005927	29551627	Adrenal Suppression Measurement	Corticosteroid-Induced Adrenal Suppression (Peak Cortisol < 350 Nmol/L)	Hawcutt et al. 2018	162.33	European	407	81	Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.	2021-06-24
GCST007799	30929738	Adult Onset Asthma	Asthma (Adult Onset)	Ferreira et al. 2019	6.35	European	327253	234008	Genetic Architectures of Childhood- and Adult-Onset Asthma Are Partly Distinct.	2021-06-24
GCST007993	31036433	Adult Onset Asthma	Asthma (Adult Onset)	Pividori et al. 2019	73.95	European	339801	NA	Shared and distinct genetic risk factors for childhood-onset and adult-onset asthma: genome-wide and transcriptome-wide studies.	2021-06-28
GCST010175	32149159	Adult-Onset Still's Disease	Adult Onset Still's Disease	Chen et al. 2020	4	East Asian	758	236	Genetic Association and Expression Correlation between Colony-Stimulating Factor 1 Gene Encoding M-CSF and Adult-Onset Still's Disease.	2021-06-25
GCST009028	30420678	Adverse Effect	Adverse Response To Drug	Tasa et al. 2018	31.25	European	16226	NA	Genetic variation in the Estonian population: pharmacogenomics study of adverse drug effects using electronic health records.	2021-06-28
GCST010039	32119686	Age At Assessment	Adverse Response To Inhaled Corticosteroid Treatment X Age Interaction In Asthma	Dahlin et al. 2020	3.75	European	783	538	Genome-wide interaction study reveals age-dependent determinants of responsiveness to inhaled corticosteroids in individuals with asthma.	2021-06-25
GCST005865	29773799	Age At Menarche	Early Age At Menarche	Horikoshi et al. 2018	1.75	East Asian	30266	NA	Elucidating the genetic architecture of reproductive ageing in the Japanese population.	2021-06-24
GCST007797	30929738	Age At Onset	Asthma Onset (Childhood Vs Adult)	Ferreira et al. 2019	6.35	European	28835	47299	Genetic Architectures of Childhood- and Adult-Onset Asthma Are Partly Distinct.	2021-06-24
GCST003451	26767831	Age At Onset	Tuberculosis	Grant et al. 2016	0.5	Greater Middle Eastern (Middle Eastern North African or Persian)	693	967	A genome-wide association study of pulmonary tuberculosis in Morocco.	2021-06-24
GCST003652	27402877	Age At Onset	Parkinson's Disease (Familial, Age At Onset)	Hill-Burns et al. 2016	11	European	431	737	Identification of genetic modifiers of age-at-onset for familial Parkinson's disease.	2021-06-24
GCST006260	29967481	Age At Onset	Childhood Onset Systemic Lupus Erythematosus	Joo et al. 2018	NA	East Asian	781	NA	Genetic variants in systemic lupus erythematosus susceptibility loci, XKR6 and GLT1D1 are associated with childhood-onset SLE in a Korean cohort.	2021-06-24
GCST002477	24962325	Age At Onset	Alcohol Dependence (Age At Onset)	Kapoor et al. 2014	NA	European	1906	NA	Genome-wide survival analysis of age at onset of alcohol dependence in extended high-risk COGA families.	2021-06-24
GCST010076	32313116	Age At Onset	Buruli Ulcer (Age At Onset)	Manry et al. 2020	2.85	Sub-Saharan African	402	455	Genome-wide association study of Buruli ulcer in rural Benin highlights role of two LncRNAs and the autophagy pathway.	2021-06-25
GCST006480	30152087	Age At Onset	Glioblastoma (Age-Stratified)	Ostrom et al. 2018	1.75		15094	NA	Age-specific genome-wide association study in glioblastoma identifies increased proportion of 'lower grade glioma'-like features associated with younger age.	2021-06-28
GCST008838	27130862	Age At Onset	Asthma (Time To Onset)	Sarnowski et al. 2016	11.25	European	13886	NA	Identification of a new locus at 16q12 associated with time to asthma onset.	2021-06-25
GCST009236	31379025	Age At Onset	Asthma (Time To Childhood Onset) In Early Life Tobacco Smoke Exposure	Sugier et al. 2019	0.5	European	3187	NA	Genome-wide interaction study of early-life smoking exposure on time-to-asthma onset in childhood.	2021-06-24
GCST009237	31379025	Age At Onset	Asthma (Childhood Onset)	Sugier et al. 2019	0.5	European	5086	NA	Genome-wide interaction study of early-life smoking exposure on time-to-asthma onset in childhood.	2021-06-24
GCST009238	31379025	Age At Onset	Asthma (Time To Childhood Onset) X Early Life Tobacco Smoke Interaction	Sugier et al. 2019	0.5	European	8273	NA	Genome-wide interaction study of early-life smoking exposure on time-to-asthma onset in childhood.	2021-06-24
GCST002619	25352737	Age-Related Cataract	Age-Related Cataracts	Ritchie et al. 2014	1.75	European|African unspecified|Other	7497	NA	Electronic medical records and genomics (eMERGE) network exploration in cataract: several new potential susceptibility loci.	2021-06-24
GCST003763	27764096	Age-Related Hearing Impairment	Age-Related Hearing Impairment	Hoffmann et al. 2016	118.18	European|Hispanic or Latin American|East Asian|African American or Afro-Caribbean	52409	13413	A Large Genome-Wide Association Study of Age-Related Hearing Impairment Using Electronic Health Records.	2021-06-28
GCST001232	21909106	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Arakawa et al. 2011	3	East Asian	4150	16280	Genome-wide association study identifies two susceptibility loci for exudative age-related macular degeneration in the Japanese population.	2021-06-24
GCST000652	20385819	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Chen et al. 2010	33	European|East Asian	3307	14904	Genetic variants near TIMP3 and high-density lipoprotein-associated loci influence susceptibility to age-related macular degeneration.	2021-06-28
GCST001571	22694956	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Cipriani et al. 2012	7	European	3092	2842	Genome-wide association study of age-related macular degeneration identifies associated variants in the TNXB-FKBPL-NOTCH4 region of chromosome 6p21.3.	2021-06-28
GCST000006	17053108	Age-Related Macular Degeneration	Age-Related Macular Degeneration (Wet)	Dewan et al. 2006	25	South East Asian	226	NA	HTRA1 promoter polymorphism in wet age-related macular degeneration.	2021-06-24
GCST001884	23455636	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Fritsche et al. 2013	89.334	European|South Asian|East Asian	59494	17761	Seven new loci associated with age-related macular degeneration.	2021-06-24
GCST010284	32277175	Age-Related Macular Degeneration	Age-Related Macular Degeneration (Mtag)	Han et al. 2020	1.5	European	130232	181412	Genome-wide meta-analysis identifies novel loci associated with age-related macular degeneration.	2021-06-25
GCST001814	23326517	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Holliday et al. 2013	1	European|South Asian|South East Asian	19805	4190	Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.	2021-06-28
GCST000001	15761122	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Klein et al. 2005	75.28	European	146	NA	Complement factor H polymorphism in age-related macular degeneration.	2021-06-24
GCST000806	20861866	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Kopplin et al. 2010	3.75	European	872	3762	Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.	2021-06-24
GCST001986	23577725	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Naj et al. 2013	5.456	European	1893	208	Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.	2021-06-24
GCST001987	23577725	Age-Related Macular Degeneration	Age-Related Macular Degeneration (Extreme Sampling)	Naj et al. 2013	5.456	European	1239	149	Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.	2021-06-24
GCST000653	20385826	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Neale et al. 2010	18	European	2688	10023	Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).	2021-06-24
GCST004737	28703135	Age-Related Macular Degeneration	Neovascular Age-Related Macular Degeneration	Ruamviboonsuk et al. 2017	0.25	South East Asian	1451	845	Genome-wide association study of neovascular age-related macular degeneration in the Thai population.	2021-06-24
GCST010723	32843070	Age-Related Macular Degeneration	Early Age-Related Macular Degeneration	Winkler et al. 2020	3.1	European	105248	NA	Genome-wide association meta-analysis for early age-related macular degeneration highlights novel loci and insights for advanced disease.	2021-06-25
GCST005359	29346644	Age-Related Macular Degeneration	Disease Progression In Age-Related Macular Degeneration	Yan et al. 2018	4.35	European	7738	NA	Genome-wide Analysis of Disease Progression in Age-related Macular Degeneration.	2021-06-24
GCST001100	21665990	Age-Related Macular Degeneration	Age-Related Macular Degeneration	Yu et al. 2011	8	European	6728	57814	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	2021-06-24
GCST010466	32445792	Aggressive Behavior	Verbal Aggression In Schizophrenia	Bani-Fatemi et al. 2020	0.25		205	NA	Genome-wide association study of aggression and violence in schizophrenia.	2021-06-25
GCST004303	28449029	Aggressive Periodontitis	Aggressive Periodontitis	Munz et al. 2017	24.33	European|Other	7687	787	A genome-wide association study identifies nucleotide variants at SIGLEC5 and DEFA1A3 as risk loci for periodontitis.	2021-06-24
GCST001166	21782286	Aging	Aging (Time To Event)	Walter et al. 2011	1.5	European	16995	NA	A genome-wide association study of aging.	2021-06-24
GCST000487	19754311	Aids	Aids	Le et al. 2009	NA	European	2134	NA	Genomewide association study of a rapid progression cohort identifies new susceptibility alleles for AIDS (ANRS Genomewide Association Study 03).	2021-06-24
GCST000308	19115949	Aids	Aids Progression	Limou et al. 2009	NA	European	1713	2007	Genomewide association study of an AIDS-nonprogression cohort emphasizes the role played by HLA genes (ANRS Genomewide Association Study 02).	2021-06-24
GCST002724	25514360	Airway Responsiveness Measurement	Airway Responsiveness In Chronic Obstructive Pulmonary Disease	Hansel et al. 2014	8.9	European	4108	NA	Genome-Wide Association Study Identification of Novel Loci Associated with Airway Responsiveness in Chronic Obstructive Pulmonary Disease.	2021-06-28
GCST004028	28025584	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis	da et al. 2016	14.3		8755	NA	Genome-wide association study of immunoglobulin light chain amyloidosis in three patient cohorts: comparison with myeloma.	2021-06-24
GCST004804	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Light Chain Only Lambda Based Profile)	Meziane et al. 2017	1.75		404	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004805	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Heart Involvement)	Meziane et al. 2017	1.75		835	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004806	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Heart And Kidney Involvement)	Meziane et al. 2017	1.75		426	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004807	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Liver Involvement)	Meziane et al. 2017	1.75		194	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004808	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Igg Profile)	Meziane et al. 2017	1.75		447	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004809	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Lambda Profile)	Meziane et al. 2017	1.75		345	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-28
GCST004811	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Serum Ig Light Chain Only Lambda/Kappa Based Profile)	Meziane et al. 2017	1.75		535	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-24
GCST004812	28679651	Al Amyloidosis	Immunoglobulin Light Chain (Al) Amyloidosis (Kidney Involvement)	Meziane et al. 2017	1.75		844	NA	Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.	2021-06-28
GCST009284	31537649	Albuminuria	Macroalbuminuria In Type 1 Diabetes	Salem et al. 2019	92.822	European	14875	NA	Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.	2021-06-24
GCST009285	31537649	Albuminuria	Kidney Disease (End Stage Renal Disease Vs Macroalbuminuria) In Type 1 Diabetes	Salem et al. 2019	92.822	European	4912	NA	Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.	2021-07-20
GCST009292	31537649	Albuminuria	Kidney Disease (End Stage Renal Disease Or Albuminuria) In Type 1 Diabetes	Salem et al. 2019	92.822	European	19300	NA	Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.	2021-07-20
GCST001769	23216389	Alcohol And Nicotine Codependence	Alcohol And Nicotine Co-Dependence	Zuo et al. 2012	NA	European|African American or Afro-Caribbean	2214	4666	Genome-wide significant association signals in IPO11-HTR1A region specific for alcohol and nicotine codependence.	2021-06-24
GCST003873	27723779	Alcohol Consumption Measurement	Colorectal Cancer (Alcohol Consumption Interaction)	Gong et al. 2016	25.22	European	16823	NA	Genome-Wide Interaction Analyses between Genetic Variants and Alcohol Consumption and Smoking for Risk of Colorectal Cancer.	2021-06-28
GCST004404	28485404	Alcohol Consumption Measurement	Alcohol Consumption (Drinkers Vs Non-Drinkers)	Jorgenson et al. 2017	6.25	European|Hispanic or Latin American|East Asian|African American or Afro-Caribbean	86627	NA	Genetic contributors to variation in alcohol consumption vary by race/ethnicity in a large multi-ethnic genome-wide association study.	2021-06-24
GCST009797	31998841	Alcohol Consumption Measurement	Alcohol Consumption (Heavy Vs. Light/Non-Drinkers)	Thompson et al. 2020	111.1	European	125249	47967	Functional validity, role, and implications of heavy alcohol consumption genetic loci.	2021-06-25
GCST004712	24166409	Alcohol Dependence	Alcohol Dependence	Gelernter et al. 2014	15	African American or Afro-Caribbean|European	8884	5895	Genome-wide association study of alcohol dependence:significant findings in African- and European-Americans including novel risk loci.	2021-06-28
GCST002477	24962325	Alcohol Dependence	Alcohol Dependence (Age At Onset)	Kapoor et al. 2014	NA	European	1906	NA	Genome-wide survival analysis of age at onset of alcohol dependence in extended high-risk COGA families.	2021-06-24
GCST008259	30940813	Alcohol Dependence	Alcohol Use Disorder	Kranzler et al. 2019	156.672	European|African American or Afro-Caribbean|Hispanic or Latin American|East Asian|South Asian	274391	NA	Genome-wide association study of alcohol consumption and use disorder in 274,424 individuals from multiple populations.	2021-06-24
GCST003121	26365420	Alcohol Dependence	Alcohol Dependence	Mbarek et al. 2015	8.95	European	15536	NA	The genetics of alcohol dependence: Twin and SNP-based heritability, and genome-wide association study based on AUDIT scores.	2021-06-24
GCST000432	19581569	Alcohol Dependence	Alcohol Dependence	Treutlein et al. 2009	8.216	European	1834	2020	Genome-wide association study of alcohol dependence.	2021-06-24
GCST004756	28714907	Alcohol Dependence	Alcohol Dependence	Treutlein et al. 2017	0.25	European	3265	NA	Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.	2021-06-24
GCST004757	28714907	Alcohol Dependence	Alcohol Dependence Or Chronic Alcoholic Pancreatitis Or Alcohol-Related Liver Cirrhosis	Treutlein et al. 2017	0.25	European	6525	NA	Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.	2021-06-24
GCST001874	23455491	Alcohol Dependence	Alcohol Dependence	Zuo et al. 2013	NA	European	2927	8083	NKAIN1-SERINC2 is a functional, replicable and genome-wide significant risk gene region specific for alcohol dependence in subjects of European descent.	2021-06-24
GCST004404	28485404	Alcohol Drinking	Alcohol Consumption (Drinkers Vs Non-Drinkers)	Jorgenson et al. 2017	6.25	European|Hispanic or Latin American|East Asian|African American or Afro-Caribbean	86627	NA	Genetic contributors to variation in alcohol consumption vary by race/ethnicity in a large multi-ethnic genome-wide association study.	2021-06-24
GCST008259	30940813	Alcohol Use Disorder Measurement	Alcohol Use Disorder	Kranzler et al. 2019	156.672	European|African American or Afro-Caribbean|Hispanic or Latin American|East Asian|South Asian	274391	NA	Genome-wide association study of alcohol consumption and use disorder in 274,424 individuals from multiple populations.	2021-06-24
GCST003153	26482880	Alcoholic Liver Cirrhosis	Cirrhosis (Alcohol Related)	Buch et al. 2015	80.7	European	2138	2070	A genome-wide association study confirms PNPLA3 and identifies TM6SF2 and MBOAT7 as risk loci for alcohol-related cirrhosis.	2021-06-24
GCST004757	28714907	Alcoholic Liver Cirrhosis	Alcohol Dependence Or Chronic Alcoholic Pancreatitis Or Alcohol-Related Liver Cirrhosis	Treutlein et al. 2017	0.25	European	6525	NA	Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.	2021-06-24
GCST004757	28714907	Alcoholic Pancreatitis	Alcohol Dependence Or Chronic Alcoholic Pancreatitis Or Alcohol-Related Liver Cirrhosis	Treutlein et al. 2017	0.25	European	6525	NA	Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.	2021-06-24
GCST002551	25085501	Allergic Rhinitis	Allergic Rhinitis In Non-Asthmatics	Bunyavanich et al. 2014	3.85	European|Hispanic or Latin American|African American or Afro-Caribbean	2387	NA	Integrated genome-wide association, coexpression network, and expression single nucleotide polymorphism analysis identifies novel pathway in allergic rhinitis.	2021-06-24
GCST009716	31361310	Allergic Rhinitis	Allergic Disease (Asthma, Hay Fever Or Eczema)	Johansson et al. 2019	106.75	European	346545	118269	Genome-wide association analysis of 350 000 Caucasians from the UK Biobank identifies novel loci for asthma, hay fever and eczema.	2021-06-25
GCST009717	31361310	Allergic Rhinitis	Hay Fever And/Or Eczema	Johansson et al. 2019	106.75	European	323807	NA	Genome-wide association analysis of 350 000 Caucasians from the UK Biobank identifies novel loci for asthma, hay fever and eczema.	2021-06-28
GCST009719	31361310	Allergic Rhinitis	Allergic Rhinitis	Johansson et al. 2019	106.75	European	258688	NA	Genome-wide association analysis of 350 000 Caucasians from the UK Biobank identifies novel loci for asthma, hay fever and eczema.	2021-06-28
GCST006409	30013184	Allergic Rhinitis	Allergic Rhinitis	Waage et al. 2018	273.254	European	212120	679247	Genome-wide association and HLA fine-mapping studies identify risk loci and genetic pathways underlying allergic rhinitis.	2021-06-24
GCST002084	23817571	Allergic Sensitization Measurement	Allergic Sensitization	Bønnelykke et al. 2013	105.7	European	15845	16034	Meta-analysis of genome-wide association studies identifies ten loci influencing allergic sensitization.	2021-06-24
GCST006408	30013184	Allergic Sensitization Measurement	Allergic Sensitization	Waage et al. 2018	273.254	European	24481	NA	Genome-wide association and HLA fine-mapping studies identify risk loci and genetic pathways underlying allergic rhinitis.	2021-06-24
GCST005038	29083406	Allergy	Allergic Disease (Asthma, Hay Fever Or Eczema)	Ferreira et al. 2017	369.25	European	360838	NA	Shared genetic origin of asthma, hay fever and eczema elucidates allergic disease biology.	2021-06-24
GCST002691	25670933	Alloimmunization	Alloimmunization Response To Red Blood Cell Transfusion In Sickle Cell Anemia	Hanchard et al. 2014	0.5	African American or Afro-Caribbean	94	NA	A Genome-Wide Screen for Large-Effect Alloimmunization Susceptibility Loci among Red Blood Cell Transfusion Recipients with Sickle Cell Disease.	2021-06-24
