"studyID","pubMedID","trait","citation","studyScore","ethnicity","cohort","title","lastUpdated"
"GCST000463","19684604","acute lymphoblastic leukemia","Papaemmanuil E 2009","22","European",3305,"Loci on 7p12.2, 10q21.2 and 14q11.2 are associated with risk of childhood acute lymphoblastic leukemia.","2020-05-07"
"GCST000464","19684603","acute lymphoblastic leukemia","Trevi�o LR 2009","15","European",18275,"Germline genomic variants associated with childhood acute lymphoblastic leukemia.","2020-05-10"
"GCST001320","22076464","acute lymphoblastic leukemia","Ellinghaus E 2011",NA,"European",5252,"Identification of germline susceptibility loci in ETV6-RUNX1-rearranged childhood acute lymphoblastic leukemia.","2020-05-08"
"GCST001693","23007406","acute lymphoblastic leukemia","Yang JJ 2012","4.5","African American or Afro-Caribbean|South Asian|European|East Asian|Other|Hispanic or Latin American",2535,"Genome-wide association study identifies germline polymorphisms associated with relapse of childhood acute lymphoblastic leukemia.","2020-05-08"
"GCST001912","23512250","acute lymphoblastic leukemia","Xu H 2013","24.75","African American or Afro-Caribbean|European|Hispanic or Latin American",10284,"Novel susceptibility variants at 10p12.31-12.2 for childhood acute lymphoblastic leukemia in ethnically diverse populations.","2020-05-08"
"GCST002657","25310577","acute lymphoblastic leukemia","Evans TJ 2014","3","European",3533,"Confirmation of childhood acute lymphoblastic leukemia variants, ARID5B and IKZF1, and interaction with parental environmental exposures.","2020-05-08"
"GCST002713","25468567","acute lymphoblastic leukemia","Perez-Andreu V 2014",NA,"European|African American or Afro-Caribbean|Hispanic or Latin American|Other",12886,"A genome-wide association study of susceptibility to acute lymphoblastic leukemia in adolescents and young adults.","2020-05-08"
"GCST002792","25710658","acute lymphoblastic leukemia","Diouf B 2015","177.93","European|African unspecified|Asian unspecified|Hispanic or Latin American",321,"Association of an inherited genetic variant with vincristine-related peripheral neuropathy in children with acute lymphoblastic leukemia.","2020-05-08"
"GCST002915","25987655","acute lymphoblastic leukemia","Fernandez CA 2015","5","European|Hispanic or Latin American|African unspecified|Asian unspecified|Other",3308,"Genome-wide analysis links NFATC2 with asparaginase hypersensitivity.","2020-05-08"
"GCST003501","27114598","acute lymphoblastic leukemia","Liu C 2016","104.7","European|African unspecified|Hispanic or Latin American|Asian unspecified",5185,"Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia.","2020-05-08"
"GCST004250","28090653","acute lymphoblastic leukemia","Liu Y 2017","2.7","European|African American or Afro-Caribbean|Hispanic or Latin American|Other",715,"Genome-Wide Study Links PNPLA3 Variant With Elevated Hepatic Transaminase After Acute Lymphoblastic Leukemia Therapy.","2020-05-08"
"GCST005315","29348612","acute lymphoblastic leukemia","Wiemels JL 2018","2.25","European|Hispanic or Latin American|African American or Afro-Caribbean",23864,"GWAS in childhood acute lymphoblastic leukemia reveals novel genetic associations at chromosomes 17q12 and 8q24.21.","2020-05-08"
"GCST007540","30450575","acute lymphoblastic leukemia","H�jfeldt SG 2018","0.25","European",831,"Genetic predisposition to PEG-asparaginase hypersensitivity in children treated according to NOPHO ALL2008.","2020-05-09"
"GCST007727","28817678","acute lymphoblastic leukemia","Archer NP 2017",NA,"Hispanic or Latin American|Native American",622,"Family-based exome-wide association study of childhood acute lymphoblastic leukemia among Hispanics confirms role of ARID5B in susceptibility.","2020-05-09"
"GCST002169","24023777","adolescent idiopathic scoliosis","Miyake A 2013",NA,"East Asian",13016,"Identification of a susceptibility locus for severe adolescent idiopathic scoliosis on chromosome 17q24.3.","2020-05-08"
"GCST002819","25784220","adolescent idiopathic scoliosis","Sharma S 2015","2","European|Hispanic or Latin American|African unspecified|East Asian",4975,"A PAX1 enhancer locus is associated with susceptibility to idiopathic scoliosis in females.","2020-05-08"
"GCST003052","26211971","adolescent idiopathic scoliosis","Ogura Y 2015","56.64","East Asian",20196,"A Functional SNP in BNC2 Is Associated with Adolescent Idiopathic Scoliosis.","2020-05-08"
"GCST003128","26394188","adolescent idiopathic scoliosis","Zhu Z 2015","7.804","East Asian",10291,"Genome-wide association study identifies new susceptibility loci for adolescent idiopathic scoliosis in Chinese girls.","2020-05-08"
"GCST004288","28334814","adolescent idiopathic scoliosis","Zhu Z 2017","0.75","East Asian",14024,"Genome-wide association study identifies novel susceptible loci and highlights Wnt/beta-catenin pathway in the development of adolescent idiopathic scoliosis.","2020-05-08"
"GCST004981","29016859","adolescent idiopathic scoliosis","Ogura Y 2017","7.508","East Asian",2543,"A functional variant in MIR4300HG, the host gene of microRNA MIR4300 is associated with progression of adolescent idiopathic scoliosis.","2020-05-08"
"GCST008788","31417091","adolescent idiopathic scoliosis","Kou I 2019","9.608","East Asian",38683,"Genome-wide association study identifies 14 previously unreported susceptibility loci for adolescent idiopathic scoliosis in Japanese.","2020-05-10"
"GCST008789","31417091","adolescent idiopathic scoliosis","Kou I 2019","9.608","East Asian",79211,"Genome-wide association study identifies 14 previously unreported susceptibility loci for adolescent idiopathic scoliosis in Japanese.","2020-05-10"
"GCST005924","29551627","adrenal suppression measurement","Hawcutt DB 2018","169.53","European",566,"Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.","2020-05-09"
"GCST005927","29551627","adrenal suppression measurement","Hawcutt DB 2018","169.53","European",488,"Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.","2020-05-09"
"GCST007799","30929738","adult onset asthma","Ferreira MAR 2019","6.35","European",561261,"Genetic Architectures of Childhood- and Adult-Onset Asthma Are Partly Distinct.","2020-05-09"
"GCST007993","31036433","adult onset asthma","Pividori M 2019","73.05","European",339801,"Shared and distinct genetic risk factors for childhood-onset and adult-onset asthma: genome-wide and transcriptome-wide studies.","2020-05-10"
"GCST009028","30420678","adverse effect","Tasa T 2018","29.4","European",16226,"Genetic variation in the Estonian population: pharmacogenomics study of adverse drug effects using electronic health records.","2020-05-10"
"GCST002619","25352737","age-related cataract","Ritchie MD 2014","1.75","European|African unspecified|Other",7497,"Electronic medical records and genomics (eMERGE) network exploration in cataract: several new potential susceptibility loci.","2020-05-07"
"GCST003763","27764096","age-related hearing impairment","Hoffmann TJ 2016","119.38","European|Hispanic or Latin American|East Asian|African American or Afro-Caribbean",65822,"A Large Genome-Wide Association Study of Age-Related Hearing Impairment Using Electronic Health Records.","2020-05-08"
"GCST000001","15761122","age-related macular degeneration","Klein RJ 2005","66.284","European",146,"Complement factor H polymorphism in age-related macular degeneration.","2020-05-07"
"GCST000006","17053108","age-related macular degeneration","Dewan A 2006","25","South East Asian",226,"HTRA1 promoter polymorphism in wet age-related macular degeneration.","2020-05-07"
"GCST000652","20385819","age-related macular degeneration","Chen W 2010","33","European|East Asian",18211,"Genetic variants near TIMP3 and high-density lipoprotein-associated loci influence susceptibility to age-related macular degeneration.","2020-05-09"
"GCST000653","20385826","age-related macular degeneration","Neale BM 2010","18","European",12711,"Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).","2020-05-08"
"GCST000806","20861866","age-related macular degeneration","Kopplin LJ 2010","3.75","European",4634,"Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.","2020-05-10"
"GCST001100","21665990","age-related macular degeneration","Yu Y 2011","8","European",64542,"Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.","2020-05-09"
"GCST001232","21909106","age-related macular degeneration","Arakawa S 2011","3","East Asian",20430,"Genome-wide association study identifies two susceptibility loci for exudative age-related macular degeneration in the Japanese population.","2020-05-09"
"GCST001571","22694956","age-related macular degeneration","Cipriani V 2012","7","European",5934,"Genome-wide association study of age-related macular degeneration identifies associated variants in the TNXB-FKBPL-NOTCH4 region of chromosome 6p21.3.","2020-05-07"
"GCST001814","23326517","age-related macular degeneration","Holliday EG 2013","0.25","European|South Asian|South East Asian",23995,"Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.","2020-05-08"
"GCST001884","23455636","age-related macular degeneration","Fritsche LG 2013","84.834","European|South Asian|East Asian",77255,"Seven new loci associated with age-related macular degeneration.","2020-05-08"
"GCST001986","23577725","age-related macular degeneration","Naj AC 2013","5.456","European",2101,"Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.","2020-05-08"
"GCST001987","23577725","age-related macular degeneration","Naj AC 2013","5.456","European",1388,"Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.","2020-05-08"
"GCST004737","28703135","age-related macular degeneration","Ruamviboonsuk P 2017","0.25","South East Asian",2296,"Genome-wide association study of neovascular age-related macular degeneration in the Thai population.","2020-05-08"
"GCST005359","29346644","age-related macular degeneration","Yan Q 2018","4.35","European",7738,"Genome-wide Analysis of Disease Progression in Age-related Macular Degeneration.","2020-05-08"
"GCST009144","29346644","age-related macular degeneration","Yan Q 2018","4.35","European",7738,"Genome-wide Analysis of Disease Progression in Age-related Macular Degeneration.","2020-05-10"
"GCST005865","29773799","age at menarche","Horikoshi M 2018","2.6","East Asian",30266,"Elucidating the genetic architecture of reproductive ageing in the Japanese population.","2020-05-09"
"GCST002477","24962325","age at onset","Kapoor M 2014",NA,"European",1906,"Genome-wide survival analysis of age at onset of alcohol dependence in extended high-risk COGA families.","2020-05-08"
"GCST003652","27402877","age at onset","Hill-Burns EM 2016","11","European",1168,"Identification of genetic modifiers of age-at-onset for familial Parkinson's disease.","2020-05-08"
"GCST006260","29967481","age at onset","Joo YB 2018",NA,"East Asian",781,"Genetic variants in systemic lupus erythematosus susceptibility loci, XKR6 and GLT1D1 are associated with childhood-onset SLE in a Korean cohort.","2020-05-09"
"GCST006480","30152087","age at onset","Ostrom QT 2018","1.75","",15094,"Age-specific genome-wide association study in glioblastoma identifies increased proportion of 'lower grade glioma'-like features associated with younger age.","2020-05-09"
"GCST007797","30929738","age at onset","Ferreira MAR 2019","6.35","European",76134,"Genetic Architectures of Childhood- and Adult-Onset Asthma Are Partly Distinct.","2020-05-10"
"GCST008838","27130862","age at onset","Sarnowski C 2016","11.25","European",13886,"Identification of a new locus at 16q12 associated with time to asthma onset.","2020-05-10"
"GCST009236","31379025","age at onset","Sugier PE 2019",NA,"European",3187,"Genome-wide interaction study of early-life smoking exposure on time-to-asthma onset in childhood.","2020-05-10"
"GCST009237","31379025","age at onset","Sugier PE 2019",NA,"European",5086,"Genome-wide interaction study of early-life smoking exposure on time-to-asthma onset in childhood.","2020-05-10"
"GCST009238","31379025","age at onset","Sugier PE 2019",NA,"European",8273,"Genome-wide interaction study of early-life smoking exposure on time-to-asthma onset in childhood.","2020-05-10"
"GCST004303","28449029","aggressive periodontitis","Munz M 2017","24.33","European|Other",8474,"A genome-wide association study identifies nucleotide variants at SIGLEC5 and DEFA1A3 as risk loci for periodontitis.","2020-05-08"
"GCST001166","21782286","aging","Walter S 2011","1.25","European",16995,"A genome-wide association study of aging.","2020-05-09"
"GCST000308","19115949","aids","Limou S 2009",NA,"European",3720,"Genomewide association study of an AIDS-nonprogression cohort emphasizes the role played by HLA genes (ANRS Genomewide Association Study 02).","2020-05-09"
"GCST000487","19754311","aids","Le Clerc S 2009",NA,"European",2134,"Genomewide association study of a rapid progression cohort identifies new susceptibility alleles for AIDS (ANRS Genomewide Association Study 03).","2020-05-07"
"GCST002724","25514360","airway responsiveness measurement","Hansel NN 2014","8.9","European",4108,"Genome-Wide Association Study Identification of Novel Loci Associated with Airway Responsiveness in Chronic Obstructive Pulmonary Disease.","2020-05-08"
"GCST004028","28025584","AL amyloidosis","da Silva Filho MI 2016","14.3","",8755,"Genome-wide association study of immunoglobulin light chain amyloidosis in three patient cohorts: comparison with myeloma.","2020-05-08"
"GCST004804","28679651","AL amyloidosis","Meziane I 2017","1.75","",404,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST004805","28679651","AL amyloidosis","Meziane I 2017","1.75","",835,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST004806","28679651","AL amyloidosis","Meziane I 2017","1.75","",426,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST004807","28679651","AL amyloidosis","Meziane I 2017","1.75","",194,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST004808","28679651","AL amyloidosis","Meziane I 2017","1.75","",447,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST004809","28679651","AL amyloidosis","Meziane I 2017","1.75","",345,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST004811","28679651","AL amyloidosis","Meziane I 2017","1.75","",535,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST004812","28679651","AL amyloidosis","Meziane I 2017","1.75","",844,"Genome-wide association study of clinical parameters in immunoglobulin light chain amyloidosis in three patient cohorts.","2020-05-08"
"GCST009284","31537649","albuminuria","Salem RM 2019","94.422","European",14875,"Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.","2020-05-09"
"GCST009285","31537649","albuminuria","Salem RM 2019","94.422","European",4912,"Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.","2020-05-09"
"GCST009292","31537649","albuminuria","Salem RM 2019","94.422","European",19300,"Genome-Wide Association Study of Diabetic Kidney Disease Highlights Biology Involved in Glomerular Basement Membrane Collagen.","2020-05-10"
"GCST001769","23216389","alcohol and nicotine codependence","Zuo L 2012",NA,"European|African American or Afro-Caribbean",6880,"Genome-wide significant association signals in IPO11-HTR1A region specific for alcohol and nicotine codependence.","2020-05-08"
"GCST003873","27723779","alcohol consumption measurement","Gong J 2016","24.47","European",16823,"Genome-Wide Interaction Analyses between Genetic Variants and Alcohol Consumption and Smoking for Risk of Colorectal Cancer.","2020-05-08"
"GCST004404","28485404","alcohol consumption measurement","Jorgenson E 2017","7.25","European|Hispanic or Latin American|East Asian|African American or Afro-Caribbean",86627,"Genetic contributors to variation in alcohol consumption vary by race/ethnicity in a large multi-ethnic genome-wide association study.","2020-05-09"
"GCST009797","31998841","alcohol consumption measurement","Thompson A 2020","110.85","European",173216,"Functional validity, role, and implications of heavy alcohol consumption genetic loci.","2020-05-10"
"GCST000432","19581569","alcohol dependence","Treutlein J 2009","8.216","European",3854,"Genome-wide association study of alcohol dependence.","2020-05-09"
"GCST001874","23455491","alcohol dependence","Zuo L 2013",NA,"European",11010,"NKAIN1-SERINC2 is a functional, replicable and genome-wide significant risk gene region specific for alcohol dependence in subjects of European descent.","2020-05-07"
"GCST003121","26365420","alcohol dependence","Mbarek H 2015","8.95","European",15536,"The genetics of alcohol dependence: Twin and SNP-based heritability, and genome-wide association study based on AUDIT scores.","2020-05-08"
"GCST004712","24166409","alcohol dependence","Gelernter J 2014","12","African American or Afro-Caribbean|European",14779,"Genome-wide association study of alcohol dependence:significant findings in African- and European-Americans including novel risk loci.","2020-05-08"
"GCST004756","28714907","alcohol dependence","Treutlein J 2017","0.25","European",3265,"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.","2020-05-10"
"GCST004757","28714907","alcohol dependence","Treutlein J 2017","0.25","European",6525,"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis.","2020-05-10"
"GCST008259","30940813","alcohol dependence","Kranzler HR 2019","154.322","European|African American or Afro-Caribbean|Hispanic or Latin American|East Asian|South Asian",274391,"Genome-wide association study of alcohol consumption and use disorder in 274,424 individuals from multiple populations.","2020-05-10"
"GCST003153","26482880","alcoholic liver cirrhosis","Buch S 2015","81.55","European",4208,"A genome-wide association study confirms PNPLA3 and identifies TM6SF2 and MBOAT7 as risk loci for alcohol-related cirrhosis.","2020-05-07"
"GCST002551","25085501","allergic rhinitis","Bunyavanich S 2014","3.85","European|Hispanic or Latin American|African American or Afro-Caribbean",2387,"Integrated genome-wide association, coexpression network, and expression single nucleotide polymorphism analysis identifies novel pathway in allergic rhinitis.","2020-05-08"
"GCST006409","30013184","allergic rhinitis","Waage J 2018","273.704","European",891367,"Genome-wide association and HLA fine-mapping studies identify risk loci and genetic pathways underlying allergic rhinitis.","2020-05-09"
"GCST009716","31361310","allergic rhinitis","Johansson � 2019","107.95","European",464814,"Genome-wide association analysis of 350<U+2009>000 Caucasians from the UK Biobank identifies novel loci for asthma, hay fever and eczema.","2020-05-10"
"GCST009717","31361310","allergic rhinitis","Johansson � 2019","107.95","European",323807,"Genome-wide association analysis of 350<U+2009>000 Caucasians from the UK Biobank identifies novel loci for asthma, hay fever and eczema.","2020-05-10"
"GCST009719","31361310","allergic rhinitis","Johansson � 2019","107.95","European",258688,"Genome-wide association analysis of 350<U+2009>000 Caucasians from the UK Biobank identifies novel loci for asthma, hay fever and eczema.","2020-05-10"
"GCST002084","23817571","allergic sensitization measurement","B�nnelykke K 2013","105.7","European",31879,"Meta-analysis of genome-wide association studies identifies ten loci influencing allergic sensitization.","2020-05-08"
"GCST006408","30013184","allergic sensitization measurement","Waage J 2018","273.704","European",24481,"Genome-wide association and HLA fine-mapping studies identify risk loci and genetic pathways underlying allergic rhinitis.","2020-05-09"
"GCST005038","29083406","allergy","Ferreira MA 2017","368.45","European",360838,"Shared genetic origin of asthma, hay fever and eczema elucidates allergic disease biology.","2020-05-10"
"GCST002691","25670933","alloimmunization","Hanchard NA 2014","0.5","African American or Afro-Caribbean",94,"A Genome-Wide Screen for Large-Effect Alloimmunization Susceptibility Loci among Red Blood Cell Transfusion Recipients with Sickle Cell Disease.","2020-05-08"
"GCST007210","30578281","alloimmunization","Williams LM 2018","7.2","African American or Afro-Caribbean",397,"A locus on chromosome 5 shows African ancestry-limited association with alloimmunization in sickle cell disease.","2020-05-09"
"GCST000719","20596022","alopecia areata","Petukhova L 2010","75.904","European",4332,"Genome-wide association study in alopecia areata implicates both innate and adaptive immunity.","2020-05-10"
"GCST004866","25608926","alopecia areata","Betz RC 2015","6","European",10585,"Genome-wide meta-analysis in alopecia areata resolves HLA associations and reveals two new susceptibility loci.","2020-05-08"
"GCST000046","17553421","Alzheimer's disease","Reiman EM 2007","16","",1411,"GAB2 alleles modify Alzheimer's risk in APOE epsilon4 carriers.","2020-05-07"
"GCST000237","18823527","Alzheimer's disease","Abraham R 2008","3.25","European",3721,"A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.","2020-05-07"
"GCST000682","20460622","Alzheimer's disease","Seshadri S 2010","29.386","European|Hispanic or Latin American",45647,"Genome-wide analysis of genetic loci associated with Alzheimer disease.","2020-05-07"
"GCST000808","20885792","Alzheimer's disease","Naj AC 2010","3","Other",5376,"Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.","2020-05-07"
"GCST000980","21379329","Alzheimer's disease","Wijsman EM 2011","5.232","European|Hispanic or Latin American",5029,"Genome-wide association of familial late-onset Alzheimer's disease replicates BIN1 and CLU and nominates CUGBP2 in interaction with APOE.","2020-05-09"
"GCST001026","21460841","Alzheimer's disease","Naj AC 2011","55.526","European",54429,"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.","2020-05-09"
"GCST001342","22159054","Alzheimer's disease","Logue MW 2011","11.136","African American or Afro-Caribbean",1009,"A comprehensive genetic association study of Alzheimer disease in African Americans.","2020-05-08"
"GCST001743","23150908","Alzheimer's disease","Jonsson T 2012","262.13","European",24202,"Variant of TREM2 associated with the risk of Alzheimer's disease.","2020-05-07"
"GCST001947","23565137","Alzheimer's disease","Miyashita A 2013","12","East Asian|European",27844,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.","2020-05-08"
"GCST001963","23571587","Alzheimer's disease","Reitz C 2013","287.32","African American or Afro-Caribbean",5896,"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E <U+03F5>4,and the risk of late-onset Alzheimer disease in African Americans.","2020-05-08"
"GCST002245","24162737","Alzheimer's disease","Lambert JC 2013","556.794","European",74046,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.","2020-05-08"
"GCST002422","24755620","Alzheimer's disease","P�rez-Palma E 2014","0.25","European",4569,"Overrepresentation of glutamate signaling in Alzheimer's disease: network-based pathway enrichment using meta-analysis of genome-wide association studies.","2020-05-08"
"GCST002813","25778476","Alzheimer's disease","Jun G 2015","48.566","European",21345,"A novel Alzheimer disease locus located near the gene encoding tau protein.","2020-05-08"
"GCST002814","25778476","Alzheimer's disease","Jun G 2015","48.566","European",57946,"A novel Alzheimer disease locus located near the gene encoding tau protein.","2020-05-08"
"GCST002817","25778476","Alzheimer's disease","Jun G 2015","48.566","European",36569,"A novel Alzheimer disease locus located near the gene encoding tau protein.","2020-05-09"
"GCST002954","26049409","Alzheimer's disease","Hirano A 2015","11.75","East Asian",17063,"A genome-wide association study of late-onset Alzheimer's disease in a Japanese population.","2020-05-08"
"GCST002983","26339675","Alzheimer's disease","Tosto G 2015","2.5","Hispanic or Latin American",5300,"F-box/LRR-repeat protein 7 is genetically associated with Alzheimer's disease.","2020-05-08"
"GCST004246","28183528","Alzheimer's disease","Jun GR 2017","31.73","European|African American or Afro-Caribbean|East Asian|Greater Middle Eastern (Middle Eastern North African or Persian)",59550,"Transethnic genome-wide scan identifies novel Alzheimer's disease loci.","2020-05-08"
"GCST004247","28183528","Alzheimer's disease","Jun GR 2017","31.73","European|African American or Afro-Caribbean|East Asian|Greater Middle Eastern (Middle Eastern North African or Persian)",59622,"Transethnic genome-wide scan identifies novel Alzheimer's disease loci.","2020-05-08"
"GCST004249","28183528","Alzheimer's disease","Jun GR 2017","31.73","European|African American or Afro-Caribbean|East Asian|Greater Middle Eastern (Middle Eastern North African or Persian)",32968,"Transethnic genome-wide scan identifies novel Alzheimer's disease loci.","2020-05-08"
"GCST007318","30514930","Alzheimer's disease","Mukherjee S 2018","165.156","European",3944,"Genetic data and cognitively defined late-onset Alzheimer's disease subgroups.","2020-05-10"
"GCST007330","30514930","Alzheimer's disease","Mukherjee S 2018","165.156","European",4554,"Genetic data and cognitively defined late-onset Alzheimer's disease subgroups.","2020-05-10"
"GCST007332","30514930","Alzheimer's disease","Mukherjee S 2018","165.156","European",3695,"Genetic data and cognitively defined late-onset Alzheimer's disease subgroups.","2020-05-10"
"GCST007333","30514930","Alzheimer's disease","Mukherjee S 2018","165.156","European",5031,"Genetic data and cognitively defined late-onset Alzheimer's disease subgroups.","2020-05-10"
"GCST007334","30514930","Alzheimer's disease","Mukherjee S 2018","165.156","European",3957,"Genetic data and cognitively defined late-onset Alzheimer's disease subgroups.","2020-05-10"
"GCST007600","30636644","Alzheimer's disease","Nazarian A 2019","17","European",17480,"Genome-wide analysis of genetic predisposition to Alzheimer's disease and related sex disparities.","2020-05-10"
"GCST008437","31055733","Alzheimer's disease","Nazarian A 2019","0.25","European",4806,"Genetic heterogeneity of Alzheimer's disease in subjects with and without hypertension.","2020-05-10"
"GCST009020","31473137","Alzheimer's disease","Moreno-Grau S 2019","43.5","European",7409,"Genome-wide association analysis of dementia and its clinical endophenotypes reveal novel loci associated with Alzheimer's disease and three causality networks: The GR@ACE project.","2020-05-09"
"GCST009022","31473137","Alzheimer's disease","Moreno-Grau S 2019","43.5","European",7086,"Genome-wide association analysis of dementia and its clinical endophenotypes reveal novel loci associated with Alzheimer's disease and three causality networks: The GR@ACE project.","2020-05-09"
